,,,,,,,,,,,
Transaction ID,Date of Sale,Product ID,Product Category,Customer ID,Customer Region,Sales Rep ID,Sales Amount,Cost,Profit,Discount,Quantity Sold
1,2023-01-10,P001,Electronics,C001,North,SR001,500,300,200,10%,1
2,2023-01-15,P002,Furniture,C002,South,SR002,1500,1000,500,5%,2
3,2023-02-01,P003,Clothing,C003,East,SR003,200,120,80,8%,4
4,2023-02-05,P004,Electronics,C004,West,SR001,700,400,300,12%,1
5,2023-02-18,P005,Furniture,C002,South,SR004,2000,1200,800,10%,3
6,2023-03-10,P006,Clothing,C005,North,SR005,350,200,150,7%,5
7,2023-03-15,P002,Furniture,C006,East,SR003,1800,1100,700,15%,2
8,2023-03-20,P007,Electronics,C007,West,SR002,600,350,250,5%,1
9,2023-04-01,P008,Furniture,C008,North,SR001,1700,1100,600,6%,2
10,2023-04-07,P003,Clothing,C009,South,SR004,300,180,120,5%,3
11,2023-05-01,P001,Electronics,C010,West,SR005,450,250,200,10%,2
12,2023-05-15,P002,Furniture,C011,North,SR002,1300,800,500,8%,1
13,2023-06-01,P004,Electronics,C012,East,SR003,900,500,400,10%,1
14,2023-06-15,P005,Furniture,C013,South,SR001,2200,1500,700,5%,3